ID	GSM1176196_1105A-08_EC_48_Affy.CEL.gz	GSM1176197_1105A-08_EC_15.CEL.gz	GSM1176198_1205A-07_EC-09_AffyHyb.CEL.gz	GSM1176199_1205A-07_EC-24_AffyHyb.CEL.gz	GSM1176200_1205A-07-EC-36_AffyHyb.CEL.gz	GSM1176201_1205A-07_EC-06_AffyHyb.CEL.gz	GSM1176202_1105A-08_EC_75_Affy.CEL.gz	GSM1176203_1105A-08_EC_11.CEL.gz	GSM1176204_1205A-07-EC-69_AffyHyb.CEL.gz	GSM1176205_1105A-08_EC_51.CEL.gz	GSM1176206_1105A-08_EC_74.CEL.gz	GSM1176207_1105A-08_EC_92_Affy.CEL.gz	GSM1176208_1205A-07_EC-19_AffyHyb.CEL.gz	GSM1176209_0606A-05_EC_05_AffyHyb.CEL.gz	GSM1176210_0606A-05_EC_90_AffyHyb.CEL.gz	GSM1176211_1105A-08_HC-20_Affy_2.CEL.gz	GSM1176212_1105A-08_HC_37.CEL.gz	GSM1176213_1205A-07_HC-48_AffyHyb.CEL.gz	GSM1176214_1205A-07-HC-16_AffyHyb.CEL.gz	GSM1176215_1105A-08_HC_15.CEL.gz	GSM1176216_1105A-08_HC_24.CEL.gz	GSM1176217_0606A-05_HC_23_AffyHyb.CEL.gz	GSM1176218_0606A-05_HC_36_AffyHyb.CEL.gz	GSM1176219_1105A-08_HC-75_Affy.CEL.gz	GSM1176220_1105A-08_HC-11_Affy.CEL.gz	GSM1176221_1105A-08_HC_33_Affy.CEL.gz	GSM1176222_1105A-08_HC-69_Affy.CEL.gz	GSM1176223_0606A-05_HC_07_AffyHyb.CEL.gz	GSM1176224_1205A-07_HC-43_AffyHyb.CEL.gz	GSM1176225_1105A-08_HC-51_Affy.CEL.gz	GSM1176226_1105A-08_HC_92_Affy.CEL.gz	GSM1176227_1205A-07_HC-19_AffyHyb.CEL.gz	GSM1176228_0606A-05_HC_05_AffyHyb.CEL.gz	GSM1176229_1205A-07-HC-90_AffyHyb.CEL.gz	GSM1176230_0606A-05_PCG_20_AffyHyb.CEL.gz	GSM1176231_1205A-07_PCG-37_AffyHyb.CEL.gz	GSM1176232_1105A-08_PCG_48_Affy.CEL.gz	GSM1176233_1105A-08_PCG_15_Affy.CEL.gz	GSM1176234_1105A-08_PCG_13_Affy.CEL.gz	GSM1176235_0606A-05_PCG_09_AffyHyb.CEL.gz	GSM1176236_0306A-02_PCG-24_AffyHyb.CEL.gz	GSM1176237_0606A-05_PCG_57_AffyHyb.CEL.gz	GSM1176238_1205A-07_PCG-23_AffyHyb.CEL.gz	GSM1176239_1105A-08_PCG_36.CEL.gz	GSM1176240_1205A-07_PCG-06_AffyHyb.CEL.gz	GSM1176241_1205A-07_PCG-75_AffyHyb.CEL.gz	GSM1176242_1105A-08_PCG_11_Affy.CEL.gz	GSM1176243_1205A-07_PCG-70_AffyHyb.CEL.gz	GSM1176244_1205A-07_PCG-64_AffyHyb.CEL.gz	GSM1176245_1105A-08_PCG_33_Affy.CEL.gz	GSM1176246_1205A-07_PCG-69_AffyHyb.CEL.gz	GSM1176247_1205A-07_PCG-07_AffyHyb.CEL.gz	GSM1176248_1105A-08_PCG_51_Affy.CEL.gz	GSM1176249_1205A-07_PCG-74_AffyHyb.CEL.gz	GSM1176250_1205A-07_PCG-92_AffyHyb.CEL.gz	GSM1176251_0606A-05_PCG_19_AffyHyb.CEL.gz	GSM1176252_1105A-08_PCG-44_Affy.CEL.gz	GSM1176253_0306A-02_PCG-05_AffyHyb.CEL.gz	GSM1176254_1205A-07_PCG-90_AffyHyb.CEL.gz	GSM1176255_1205A-07_SG-37_AffyHyb.CEL.gz	GSM1176256_1105A-08_SG-48_Affy.CEL.gz	GSM1176257_0306A-02_SG-15_AffyHyb.CEL.gz	GSM1176258_1005A02_SG-9_AffyHyb.CEL.gz	GSM1176259_0306A-02_SG-24_AffyHyb.CEL.gz	GSM1176260_0606A-05_SG_57_AffyHyb.CEL.gz	GSM1176261_0606A-05_SG_91_AffyHyb.CEL.gz	GSM1176262_1205A-07_SG-23_AffyHyb.CEL.gz	GSM1176263_1005A02_SG-36_AffyHyb.CEL.gz	GSM1176264_1005A02_SG-6_AffyHyb.CEL.gz	GSM1176265_1105A02_SG-75_AffyHyb.CEL.gz	GSM1176266_1105A02_SG-11_AffyHyb.CEL.gz	GSM1176267_1105A02_SG-70_AffyHyb.CEL.gz	GSM1176268_1205A-07_SG-64_AffyHyb.CEL.gz	GSM1176269_1005A02_SG-33_AffyHyb.CEL.gz	GSM1176270_1105A-08_SG-51_Affy.CEL.gz	GSM1176271_1105A02_SG-74_AffyHyb.CEL.gz	GSM1176272_0306A-02_SG-92_AffyHyb.CEL.gz	GSM1176273_1105A02_SG-44_AffyHyb.CEL.gz	GSM1176274_0806A-04_SG_05_03_Affy.CEL.gz	GSM1176275_1105A02_SG-90_AffyHyb.CEL.gz	GSM107523.cel.gz	GSM107525.cel.gz	GSM107527.cel.gz	GSM107529.cel.gz	GSM107531.cel.gz	GSM107533.cel.gz	GSM107535.cel.gz	GSM107537.cel.gz	GSM107539.cel.gz	GSM107541.cel.gz	GSM238763.CEL.gz	GSM238790.CEL.gz	GSM238791.CEL.gz	GSM238792.CEL.gz	GSM238793.CEL.gz	GSM238794.CEL.gz	GSM238795.CEL.gz	GSM238796.CEL.gz	GSM238797.CEL.gz	GSM238798.CEL.gz	GSM238799.CEL.gz	GSM238800.CEL.gz	GSM238801.CEL.gz	GSM238802.CEL.gz	GSM238803.CEL.gz	GSM238804.CEL.gz	GSM238805.CEL.gz	GSM238806.CEL.gz	GSM238807.CEL.gz	GSM238808.CEL.gz	GSM238809.CEL.gz	GSM238810.CEL.gz	GSM238811.CEL.gz	GSM238812.CEL.gz	GSM238813.CEL.gz	GSM238815.CEL.gz	GSM238816.CEL.gz	GSM238817.CEL.gz	GSM238818.CEL.gz	GSM238819.CEL.gz	GSM238820.CEL.gz	GSM238821.CEL.gz	GSM238822.CEL.gz	GSM238823.CEL.gz	GSM238824.CEL.gz	GSM238825.CEL.gz	GSM238826.CEL.gz	GSM238827.CEL.gz	GSM238834.CEL.gz	GSM238835.CEL.gz	GSM238837.CEL.gz	GSM238838.CEL.gz	GSM238839.CEL.gz	GSM238840.CEL.gz	GSM238841.CEL.gz	GSM238842.CEL.gz	GSM238843.CEL.gz	GSM238844.CEL.gz	GSM238845.CEL.gz	GSM238846.CEL.gz	GSM238847.CEL.gz	GSM238848.CEL.gz	GSM238851.CEL.gz	GSM238854.CEL.gz	GSM238855.CEL.gz	GSM238856.CEL.gz	GSM238857.CEL.gz	GSM238858.CEL.gz	GSM238860.CEL.gz	GSM238861.CEL.gz	GSM238862.CEL.gz	GSM238863.CEL.gz	GSM238864.CEL.gz	GSM238865.CEL.gz	GSM238867.CEL.gz	GSM238868.CEL.gz	GSM238870.CEL.gz	GSM238871.CEL.gz	GSM238872.CEL.gz	GSM238873.CEL.gz	GSM238874.CEL.gz	GSM238875.CEL.gz	GSM238877.CEL.gz	GSM238941.CEL.gz	GSM238942.CEL.gz	GSM238943.CEL.gz	GSM238944.CEL.gz	GSM238945.CEL.gz	GSM238946.CEL.gz	GSM238947.CEL.gz	GSM238948.CEL.gz	GSM238949.CEL.gz	GSM238951.CEL.gz	GSM238952.CEL.gz	GSM238953.CEL.gz	GSM238955.CEL.gz	GSM238963.CEL.gz
A2M	8.2363875	7.4495685	7.5279105	7.728772	7.7848945	8.081505	7.9053485	6.818907	8.039208	7.464895	7.513424	8.4557925	7.223802	7.548758	7.4102585	7.2363325	8.4580755	8.4001805	7.4793575	7.029461	8.074765	7.0256125	8.199044	8.164082	7.1092875	8.518893	7.719737	8.059562	7.7896535	7.4063455	8.333376	7.982087	7.820892	7.9237085	7.4363725	7.9422645	7.582265	7.0153685	7.3797655	7.5480435	7.4722985	7.4474075	7.636641	7.49075	7.276045	7.629767	6.2643595	7.232205	7.8844805	7.8811315	7.394224	7.6766015	7.082968	6.9830585	7.896081	7.626123	7.131188	7.30118	8.0603525	8.693968	7.865446	7.1947975	6.8040715	7.487233	7.69524	7.52223	7.148784	7.1148605	7.3582965	7.8244485	6.703759	7.5531935	7.805655	7.2702405	7.2679055	7.576909	7.516474	6.9631095	6.9141185	7.742252	6.5995815	7.225472	7.6924225	8.5685165	8.4489745	8.1502375	8.22409	8.457711	7.978283	8.13705	8.295291	6.6249635	7.216295	7.9107475	7.275718	8.408395	8.110206	8.1915635	7.9162195	7.471717	7.2618585	8.6687485	8.6813995	6.6514705	6.901787	6.800241	6.6603215	6.5537155	6.3072375	8.549151	8.2823805	8.4280945	8.9039675	7.6974895	7.1023285	8.6949405	9.1765305	9.2002815	6.995558	8.4136275	8.190819	8.7999315	9.3186585	8.932919	8.917538	9.304582	8.41006	6.7652575	7.3073525	7.1133105	9.759812	6.4853295	7.3895825	7.978399	6.673915	7.4284985	8.0068595	7.5463335	8.74329	8.4797295	8.379876	8.616124	9.2791835	8.7080725	8.659751	8.168324	7.2615745	7.739356	7.6122475	8.2521595	8.230961	7.4586165	8.1326255	7.419346	8.6703125	7.9714155	7.964948	8.7630365	8.602679	9.0298625	7.9894395	7.969548	7.6616275	8.95274	7.2825155	8.8498295	8.1051605	8.190698	6.947639	8.2548805	7.831388	8.2981915	7.1012765	7.436325	7.8162655	9.4276325	9.9812495
ACKR1	5.294257	5.763973	6.242019	7.308333	6.377188	7.32267	6.343922	6.495769	7.155034	6.672214	5.95431	6.246344	7.282908	6.589521	6.060617	6.634858	7.188273	5.477046	6.241613	5.884802	8.545942	6.792101	8.078649	5.689685	6.785897	6.363686	6.923742	7.939246	8.202639	6.817344	6.203198	8.086821	5.920057	6.90385	8.204076	7.219356	5.86117	6.068006	6.105784	8.143361	6.782311	6.795021	7.344422	7.04022	7.591587	6.051465	7.078404	6.717691	6.341369	7.063909	6.895744	8.730534	6.528409	6.492404	6.346363	6.790712	6.43967	6.610486	7.015689	7.860616	6.025672	6.340571	6.493696	7.018941	6.954235	6.0513	6.930287	6.483764	6.824111	5.519943	7.10691	6.912011	6.231988	6.230686	5.807721	6.679545	6.047802	5.769262	7.636383	6.479799	6.769307	6.391874	6.311963	7.798781	6.135135	6.551162	6.144809	5.681549	5.802235	7.060304	6.084899	7.488204	5.927175	6.220751	6.274503	5.959879	6.647629	5.918782	6.62358	6.054281	6.522453	6.990218	5.722011	6.09591	5.964518	6.285137	5.870462	6.802936	6.501344	6.328022	6.37159	7.527363	6.686801	4.995784	6.477371	5.80644	6.197506	6.677019	6.944035	6.898371	6.66538	6.8552	10.482407	5.129579	5.835904	6.554182	5.98737	6.860952	6.272731	6.557943	5.280722	6.666796	6.027439	7.99051	6.337014	6.012329	7.091729	6.202372	6.525985	6.551548	6.057286	5.693068	5.846346	5.929968	5.768743	6.400378	6.806128	6.357322	6.037803	6.64361	6.335281	6.707803	6.726241	7.800473	7.200226	6.905597	6.62529	6.03939	6.330165	6.556224	6.903328	6.290962	6.024284	5.382882	6.90862	5.966745	6.31995	6.003361	5.959892	5.617386	6.207721	6.444035	7.744028	6.489316	6.696462	6.402006	5.634117
ACKR4	3.213931	3.486492	3.817093	3.625147	3.434828	3.569622	3.373582	3.467658	3.974139	3.294233	3.437818	3.341909	3.346861	3.312277	3.422003	3.55582	3.625952	3.680463	3.679336	3.397247	4.050571	3.537248	3.304227	3.542285	3.331279	3.781237	3.220995	3.525241	3.517709	3.300529	3.647257	3.64577	3.426231	3.641232	3.88925	3.78578	3.048484	3.283822	3.624855	3.352836	3.307727	3.450829	3.705464	3.628718	3.205506	3.343663	3.238699	3.984434	3.985426	3.873093	3.168713	3.785726	3.173943	3.454928	3.427131	3.766221	3.772264	3.247571	2.949978	3.381066	3.413165	3.352871	3.34641	3.423632	3.754045	3.964087	3.570568	3.555232	3.196216	3.245942	3.30988	3.786923	3.260015	3.63226	3.445424	3.317293	3.67094	3.392623	3.06377	3.314865	3.444171	3.498819	3.283855	3.587299	2.997494	3.193076	3.487263	3.459367	3.936314	3.383312	3.703527	3.116809	3.446707	3.283796	3.387679	3.517323	3.475366	3.516611	3.443355	3.541212	3.262466	3.227557	3.350393	3.289778	3.792426	3.387408	3.363004	3.201987	2.976276	3.378606	3.441733	3.58138	3.242605	3.334744	3.467808	3.418837	3.407403	3.407441	3.165102	3.453463	3.472715	3.463954	3.564727	3.595429	3.271103	3.403862	3.488004	3.366894	3.503167	3.162632	3.664087	3.99231	3.414778	3.491811	3.361347	3.587039	3.54657	3.39514	3.79916	3.421859	3.55735	3.443574	3.713157	3.240671	3.692094	4.088623	3.278069	3.923525	3.428154	3.773995	3.355483	3.205471	3.386378	3.448021	4.24047	3.796573	3.594686	3.558095	3.533782	3.303006	3.518598	3.867523	3.213255	3.713126	3.599033	3.372267	3.96576	3.356123	4.167262	3.258707	3.280194	3.257711	3.259097	3.528486	3.351824	3.540233	3.746265
ACP1	7.10307425	6.68238725	6.45728875	6.76755925	6.576248	6.9543655	6.68069625	6.67443725	6.8192665	7.224634	6.84413225	6.8947375	6.967743	7.60499375	6.65308475	6.578464	6.59262575	7.0409995	6.65397475	6.71278075	6.98582075	6.68192175	6.65580025	7.137838	6.27611025	6.44903575	6.98953675	6.82840825	6.70642625	7.33911825	6.8080815	6.7532785	6.60067375	6.973377	6.691249	6.57849925	6.59191175	6.55710575	6.602919	6.38646875	7.048097	6.6199265	6.488247	6.7382485	6.9511055	6.818618	7.00966125	6.59135375	6.27345775	6.57328475	7.1220785	6.312175	7.27922875	6.9537585	6.892762	7.10417175	6.70744625	6.984404	7.03854775	6.4623335	6.75240575	6.47950425	6.476347	6.99622325	6.127774	6.391455	6.663534	6.735348	7.0997615	6.7798125	7.1014585	6.36825975	6.05866525	6.4758435	6.9842275	6.79621575	7.0384485	6.805791	7.1245335	7.04269375	5.97584425	6.26679175	6.9736205	6.343102	7.774762	7.1869165	6.76196	6.89104975	7.1199625	6.820233	6.38150175	7.27239975	6.11173675	6.54691325	6.50150575	6.41203125	6.67527825	6.30987425	5.8501295	6.7522045	6.95495	6.37877225	6.82237775	6.59270725	6.386089	6.83953325	5.9276015	6.311788	6.65330125	6.5190685	6.882397	6.29613875	7.3256175	6.91212825	5.965659	6.57617425	6.774861	6.965062	6.638734	6.149221	7.05315875	7.154239	6.7518555	6.429576	6.303425	6.329409	6.500356	5.939813	6.22196175	5.484019	5.9963825	6.2798755	5.86381925	6.767642	6.04311625	6.45756525	6.48480475	6.05600375	7.11992125	6.8419025	6.5539445	7.098266	6.286056	6.46091125	6.4064085	7.26850125	7.114827	6.18204025	6.34019425	6.81667825	6.369449	7.06452875	7.02846325	6.01618475	6.5952315	6.3451455	6.65639025	6.70536375	6.80637325	6.86784375	6.54130025	6.45335475	6.6491835	5.786673	6.7691675	6.500581	6.70389025	6.07306625	6.788409	7.05878275	6.42664975	6.18534875	6.82297925	6.66245075	7.12579975	6.49147425	5.93154
ACP5	5.551858	5.042459	5.168515	5.246464	4.897452	5.137863	5.612171	5.023131	5.005026	5.002121	5.118845	5.099897	5.297645	5.09159	5.673256	5.161335	5.621066	5.564	5.13574	5.146024	5.007026	5.293516	5.978633	6.036088	5.232076	5.091495	5.283492	5.546295	5.42937	5.265315	5.178879	5.057938	5.653366	5.196613	5.955155	5.260871	5.016603	4.938562	5.112534	5.376968	5.302247	5.372317	5.052924	5.125227	4.816535	4.863627	4.785339	4.949667	5.698966	5.218065	4.929514	5.28604	4.662779	4.676527	4.920679	4.977015	4.716642	4.812181	5.159288	5.148233	4.98898	5.016547	5.08	5.113897	5.099897	5.705574	5.244067	5.099897	5.375478	5.522537	5.252727	5.049855	5.404164	5.009618	5.417303	5.062365	4.721508	5.076393	5.578631	5.11099	5.543842	4.662079	5.214885	5.315161	4.568479	5.082542	5.432476	4.860331	5.41784	5.429867	5.408659	5.098242	5.269473	5.038755	5.277762	5.318798	5.078933	5.263675	4.968384	5.137387	4.69437	5.294183	4.911868	5.14508	5.175704	5.285514	4.974455	5.069016	5.020677	5.066008	5.261834	5.302701	4.96139	4.919304	5.155014	4.939617	4.865079	4.96695	4.973911	4.869723	5.04837	4.950001	4.997564	5.09564	5.018119	5.07076	5.203688	5.256553	4.727759	4.986773	5.629809	5.222227	4.847238	5.315432	5.140274	5.11137	5.022939	4.949932	4.912352	4.849598	4.896646	4.973224	5.000226	4.705095	5.14653	4.850192	4.665889	5.452072	4.840289	4.939509	4.974818	4.93764	5.293323	5.178595	4.913188	4.581769	4.918315	4.958867	4.671635	5.065076	5.233379	4.804266	4.844958	5.440778	4.726773	5.890981	5.344965	4.99059	5.178794	5.112512	5.450553	5.193296	4.624289	4.796982	4.703345	5.52677	5.456643
ACVRL1	5.331568	5.1087155	5.88392	5.628808	5.768544	5.8787465	5.6296525	5.349297	5.5750365	5.328913	5.7456345	5.800568	5.3775645	5.384936	5.9758995	6.2634115	6.286624	5.8497165	6.041913	5.3217685	5.1547165	5.729113	6.170605	5.0980535	5.7799905	6.472798	5.6772945	6.780007	5.4822085	5.5864825	6.1304435	6.0732	6.1858915	6.3253515	5.5919635	6.9600445	5.48741	5.080932	5.574135	5.820629	5.330701	6.121659	5.9036395	5.6355295	6.118961	5.18038	5.4356585	5.6180535	6.425864	5.6094775	5.547889	6.3297195	5.6382225	5.5458725	5.774639	5.542376	5.4776455	5.85096	5.9995275	7.610839	5.4899795	5.264326	5.794915	5.483584	6.827663	6.10941	5.972079	5.4230755	5.7404415	5.3042735	5.3839245	5.952045	6.6092385	5.400146	5.0038285	5.464628	5.481313	5.5284325	5.492036	6.3045205	4.845627	5.9631375	5.2586885	7.244255	5.835462	5.8284085	6.4808895	6.0527185	5.8139905	5.9851355	6.891105	5.0306655	5.978319	6.022405	5.653321	6.388641	6.3981195	6.48954	6.1004755	6.0516225	5.549673	6.0887355	6.006625	5.388819	5.2036425	5.435004	5.8964605	5.301121	5.1117565	6.240239	5.844975	5.688019	5.543008	5.8904675	5.313317	7.004587	6.445646	5.603658	5.394718	7.0056075	5.743726	5.678937	7.251275	6.6328515	6.808007	6.9398765	6.5434965	5.4911675	5.6054365	5.4280075	6.643019	6.093462	5.740044	6.446463	5.6059185	6.198077	6.5218965	5.857225	5.716926	5.859193	5.650159	7.290474	6.5844685	5.812437	6.485515	5.604597	5.5293595	6.8121495	5.524868	6.042306	6.0673665	5.0965955	6.0728465	5.885168	6.9169225	7.0494545	5.853064	6.685985	5.7076735	5.964962	5.7537695	6.353984	5.7630055	7.1049215	5.8061945	6.15891	6.4604315	5.061792	5.846703	6.1987845	6.5814345	6.133239	5.5424045	6.7166295	5.6795955	6.825911	6.980367
ADCY4	6.508638	6.098582	6.865987	6.897052	6.255633	6.886244	6.982622	6.644994	6.619405	6.780864	6.784816	6.86544	6.430602	6.253385	6.92713	6.617132	7.421835	7.448552	6.413277	6.521067	6.543253	6.386305	8.072124	6.488119	6.993661	7.05209	6.622737	7.666458	6.324999	7.009256	7.389852	6.615325	7.378598	6.487346	6.766519	7.342436	7.095587	6.600721	7.137657	7.180623	6.329915	7.054388	7.29205	6.758494	6.256806	6.626438	6.705164	6.508281	7.178817	7.054447	6.715536	7.27693	6.579989	6.383552	6.682462	6.667211	6.559935	6.808601	6.667547	8.025854	6.812198	6.273181	6.589698	6.803077	7.941032	7.251181	7.036679	6.56369	6.595066	6.517612	7.08929	6.811209	7.716013	7.035523	6.250045	6.821011	6.299006	6.687843	6.864191	6.773837	6.933507	7.105933	7.020838	7.571433	6.420248	6.581813	7.560263	6.384315	6.939332	7.190575	7.773902	6.517568	7.21911	6.837952	6.888663	7.358637	7.125366	6.996977	7.165797	6.955287	6.30207	7.072855	6.347817	6.723512	7.044845	6.731805	6.906241	6.900213	6.80236	6.921298	7.131766	6.400117	6.960118	7.053415	6.997653	6.784196	6.987939	6.722893	6.535608	7.193646	6.562392	6.935727	7.462458	7.584362	7.985451	7.538234	7.167865	7.264549	7.075359	6.940035	7.806359	7.432033	6.901904	7.526108	6.795067	6.856172	7.066798	6.963362	6.879	6.864013	6.755814	7.014693	7.229012	6.914867	7.548677	6.900291	6.777347	7.653419	6.743843	6.978004	6.814756	6.156816	6.791317	6.513539	6.639466	6.793047	6.503738	7.256126	6.80989	6.871978	7.154531	6.435696	6.292439	8.074768	6.562624	7.570385	7.160904	6.752799	7.028173	7.351402	7.351609	7.160891	6.510339	6.483304	6.183752	7.552687	7.940575
ADCY7	5.3754235	4.443886	5.2483735	5.110215	5.449196	5.0199205	5.2294295	4.508953	5.5512225	5.0645885	4.529497	4.951216	4.9510075	4.97795	5.4387005	5.242977	5.8547235	5.5290185	5.2181845	4.923764	5.6528685	5.351302	5.336515	5.2321185	5.1653325	6.1028875	4.9098965	4.238291	5.6602255	4.953107	5.574866	5.707758	4.5193475	5.9361855	5.7474355	5.2686365	5.073327	4.5650595	4.649361	5.122661	4.1136895	4.3056865	4.8011865	4.767063	5.057596	4.6046765	4.5602865	5.1147725	5.0639705	5.12074	4.8195215	5.096998	4.9646405	4.7569375	4.47517	4.456528	5.24945	4.9237465	5.0417095	5.3068345	5.173549	4.857202	5.2743395	4.773255	4.275641	5.176914	4.850808	4.86909	4.630624	4.9661345	4.226981	5.3829525	4.868455	4.968125	5.2418795	4.916656	4.7330225	5.05345	5.159955	5.270473	4.7424495	4.4175775	5.162444	4.2123715	6.182672	5.957991	5.1542925	5.4623395	4.971533	4.8628235	5.1508605	4.6617265	4.6374915	5.160488	4.9252165	5.117041	5.068262	4.7559315	4.749059	5.096879	5.262807	4.882915	5.811501	5.550077	4.8298795	4.8525835	4.446719	4.7366235	4.9748725	5.7533585	5.215308	5.688075	4.625774	5.143216	5.683254	5.6588195	5.294479	4.7235565	5.184536	5.10027	4.3999465	5.818809	4.828005	5.07909	4.4307175	5.13692	4.897175	5.8716195	5.2209375	5.5650675	4.3106545	5.099155	4.559786	5.5058305	4.706579	5.0163845	5.381562	4.787601	5.7746155	5.0774225	5.426366	5.7201185	4.7914255	5.229553	5.434283	4.716536	4.962914	5.013962	4.3742185	5.755553	4.82397	4.9755885	5.437345	5.706814	6.8132535	5.128146	5.4241495	5.046997	4.558813	4.9559345	4.68481	4.4842675	4.523509	5.196318	5.0017135	4.3520295	4.590393	4.7063615	4.496079	4.396601	4.560124	4.7631755	4.753925	4.877573	5.0685425	4.782336	4.6009545
AGER	5.072507	4.9287285	5.079858	5.167524	5.212153	4.9911715	5.4104355	5.1077355	4.8922115	4.9208165	5.2097905	5.13488	4.8851485	5.26166	5.34896	5.1225465	5.1509965	4.852395	4.861032	4.969915	5.37947	4.853734	6.0190875	5.20774	5.412496	4.948215	5.1854185	5.286339	5.4461685	4.933156	5.261231	4.8459305	6.1923085	4.960417	5.3511005	5.26029	5.048841	5.1277495	5.332	5.8407015	5.1282045	5.1626955	5.385137	4.860848	4.608169	5.114629	4.6042245	5.178346	5.408813	5.1113095	4.918724	5.322574	4.806304	5.111335	4.9956785	5.137174	4.674518	5.0111305	4.943059	5.282401	5.2113855	5.6260345	5.126646	4.8481755	5.6936515	6.0155645	5.151097	5.3995365	5.25861	5.5039765	5.3484025	5.448925	5.4371355	4.996336	4.8390955	5.1925025	5.0827735	5.2146265	4.741802	5.0734005	5.535352	5.4539945	5.21476	5.629051	4.7863865	4.693034	5.141579	4.8139045	5.065209	5.1338185	5.135402	4.5817325	5.2482995	4.9184085	5.362541	5.5316875	5.194889	5.4369675	5.1468855	5.2111245	4.925514	4.8276045	4.8256425	4.567164	4.8931575	5.371237	5.2533695	5.0910315	4.874371	5.073835	4.811743	5.313726	5.172983	4.9168005	5.009251	5.072051	5.2132175	5.0032075	5.0592945	5.3643655	4.975778	5.1629295	5.717588	5.818815	5.8911815	5.383931	5.5729815	5.309497	4.884433	5.12971	5.479044	5.072417	5.439688	5.126265	5.156739	4.8881885	5.1458665	5.24558	5.140976	5.252039	4.7756885	5.1336945	5.2127525	4.9522775	5.4716235	5.116774	4.927565	5.059356	5.1793715	5.4705035	5.0929615	4.869933	5.1311985	5.076029	4.99785	5.20648	4.9553165	5.4992905	4.757157	5.1107815	5.0755755	4.690848	4.769175	5.3512215	4.9877895	5.72049	5.2294445	4.7588805	5.4231965	6.0188055	5.054468	4.9851475	4.6047465	4.6641295	4.945811	5.45975	5.6786925
AGT	10.988679	10.307918	10.831982	10.668486	10.530831	10.632101	11.031832	10.252461	10.77877	9.420155	10.562464	10.833317	10.749057	10.276571	10.680505	10.347103	10.997421	11.544406	10.478425	10.260363	11.167675	10.739153	10.673348	11.22036	10.255809	9.670056	10.209074	11.620659	10.322139	10.506423	10.957142	11.02128	10.945151	9.976407	10.690902	11.087821	9.592827	9.437519	8.354287	10.38684	10.363035	8.984983	9.916691	9.625076	10.065735	10.565826	10.20959	8.931755	8.914878	8.459982	10.147504	8.90368	9.222624	8.7111	9.737455	9.50242	9.05089	9.873568	9.474613	11.376945	10.097971	9.878347	9.792161	9.831091	8.352757	10.030248	10.783162	9.810698	9.582852	10.98437	9.996113	8.891109	9.552929	8.763491	10.166033	9.525518	10.078788	9.764698	9.859722	9.180364	9.247267	9.147426	10.1415	9.132708	10.537751	9.864083	9.693073	11.325704	10.447771	10.268467	7.706678	9.792828	9.694301	10.225978	9.903929	8.984475	9.953488	10.525955	10.084139	11.062392	9.734691	10.538135	9.636289	9.230115	8.409625	8.965034	9.300297	8.525098	8.562727	11.115039	11.920828	12.318898	11.919565	10.364099	9.839958	11.577684	11.057466	10.458509	9.495443	10.881199	11.665238	11.830521	11.45996	10.6622	10.958457	11.833599	9.75315	8.363886	7.908469	8.78746	10.363512	7.75276	9.702427	9.853059	8.551071	9.534489	10.511035	10.990828	10.809194	9.214838	10.811197	10.217854	11.323359	9.133616	10.042044	10.425198	9.956606	9.824132	10.597511	9.798585	10.093841	9.484571	9.198751	10.706077	11.761848	10.422683	10.246269	11.787455	11.190223	10.63179	10.838507	8.857605	10.216961	10.599513	10.307553	9.746282	9.540223	9.860969	9.224291	10.994662	10.689822	10.738424	10.193619	9.902885	9.633549	11.165879	11.068924
